CrossMarket,AffiliateName,StreetAddress,Locality,Region,PostalCode,Country,Continent,AffiliateURL,Principal,ReferralContactPhone,ReferralContactEmail,LogoUrl,HeaderImage,MarketArea
,ReMind Group SA,"Arroyo 880, 5th Floor, Suite 10­",Buenos Aires­,"BU,­",1007,Argentina,South America,http://www.remind.com.ar,ReMind Group SA,+54 11 4325 4325,fernanda.canals@remind.com.ar,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238973/content_logo_REMIND_01__002_.jpg,,"Buenos Aires, Buenos Aires"
,Anchor Antigua Realty,3rd floor Brysons Office Complex­,St Johns­,"AG,­",,Antigua And Barbuda,North & Central America,http://www.onecaribbeanestatesantigua.com,Anchor Antigua Realty,+1 268 725 4059,jwhite@onecaribbeanestatesantigua.com,,,"Half Moon Bay, Cities In Antigua And Barbuda Mill Reef, Cities In Antigua And Barbuda Near English Harbour, Cities In Antigua And Barbuda St Johns, Cities In Antigua And Barbuda St Marys, Cities In Antigua And Barbuda St Phillips, Cities In Antigua And Barbuda Willoughby Bay, Cities In Antigua And Barbuda"
,Ken Jacobs,Level One at 31-33 Knox Street­,Double Bay­,"SW,­",2028,Australia,Australia,http://www.kenjacobs.com.au,Ken Jacobs,+61 2 9328 1422,ken@kenjacobs.com.au,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238962/content_New_stacked_logo_Ken_Jacobs_Christies_Logo.png,,"Sydney, Cities In Australia Double Bay, New South Wales"
,Stiller & Hohla Immobilientreuhänder,Joseph Messner-Strasse 8-14­,Salzburg­,"AT,­",A-5020,Austria,Europe,http://www.stiller-hohla.at,Stiller & Hohla Immobilientreuhänder,+43 662 658 5110,office@stiller-hohla.at,,,"Salzburg, Cities In Austria"
,Avantgarde Properties,Kohlmarkt 6­,Vienna­,"VI,­",A-1010,Austria,Europe,http://www.avantgardeproperties.com,Avantgarde Properties,+43 (0)1 890 55 33,office@avantgardeproperties.com,,,"Vienna, Cities In Austria"
,H G Christie Ltd,"Millar's Court, P.O. Box N-8164­",Nassau New Providence­,"NP,­",,Bahamas,North & Central America,http://www.hgchristie.com,H G Christie Ltd,+1 242 322 1041,jchristie@hgchristie.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238977/hgc_and_cire_combined_png_copy_red_copy.png,,"Elbow Cay Hope Town, Abaco Marsh Harbour, Abaco Governors Harbour, Eleuthera Windermere Island, Eleuthera Eleuthera, Eleuthera Exumas, Exuma George Town, Exuma Long Island, Long Island Nassau New Providence, Nassau And Paradise Island Old Nassau, Nassau And Paradise Island San Salvador, San Salvador Freeport, Grand Bahama Grand Bahama East, Grand Bahama"
,Sibarth Real Estate,"17 Rue de la République, Gustavia­",Gustavia­,"BL,­",97133,St. Barthelemy,North & Central America,http://www.sibarthrealestate.com,Sibarth Real Estate,+590 590 29 88 91,Zarek@sibarthrealestate.com,,,"Gustavia, Cities In St. Barthelemy"
,Sinclair Realty Bermuda LLC,48 Par-La-Ville Road­,Hamilton­,"BM,­",HM 11,Bermuda,North & Central America,http://www.sinclairrealty.com,Sinclair Realty Bermuda LLC,+1 441 296 0278,estates@logic.bm,,,"Hamilton, Bermuda"
,Axpe Imóveis Especiais,"Avenida Nove de Julho, 5017, 10° Andar­",Sao Paulo­,"SP,­",01407-200,Brazil,South America,http://www.axpe.com.br,Axpe Imóveis Especiais,+55 11 3074 3600,martim.cazarin@axpe.com.br,,,"San Paulo, Sao Paulo Sao Paulo, Sao Paulo"
,Faith Wilson Group,1838 West 1st Avenue­,Vancouver­,"BC,­",V6J 1G5,Canada,North & Central America,https://www.faithwilsongroup.com,Faith Wilson Group,+1 604 224 5277,faith@faithwilsongroup.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238953/content_signature_center.png,,"Vancouver, British Columbia"
,Newport Realty,1144 Fort Street­,Victoria­,"BC,­",V8V 3K8,Canada,North & Central America,http://www.newportrealty.com,Newport Realty,+1 250 385 2033,jwpetrie@shaw.ca,,,"Victoria, British Columbia"
,"Chestnut Park Real Estate Limited, Brokerage - Toronto","1300 Yonge Street, Suite 100­",Toronto­,"ON,­",M4T 1X3,Canada,North & Central America,http://www.chestnutpark.com,"Chestnut Park Real Estate Limited, Brokerage - Toronto",+1 416 925 9191,homes@chestnutpark.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238992/stacked_green__1_.png,,"Burlington, Ontario Caledon, Ontario Collingwood, Ontario Creemore, Ontario Erin, Ontario Haliburton, Ontario Huntsville, Ontario Lake Of Bays, Ontario Meaford, Ontario Milton, Ontario Mississauga, Ontario Oakville, Ontario Picton, Ontario Port Carling, Ontario Port Hope, Ontario Simcoe, Ontario Stratford, Ontario Toronto, Ontario Unionville, Ontario Wiarton, Ontario Grey Highlands, Ontario Kawartha Lakes, Ontario Mono, Ontario Port Credit, Ontario Muskoka, Ontario"
,Marilyn Wilson Dream Properties,266 Beechwood Avenue­,Ottawa­,"ON,­",K1L 8A6,Canada,North & Central America,http://www.dreamproperties.com,Marilyn Wilson Dream Properties,+1 613 842 5000,marilyn@dreamproperties.com,,,"Cumberland, Ontario Kanata, Ontario Manotick, Ontario Orleans, Ontario Ottawa, Ontario Stittsville, Ontario"
,Profusion Realty Inc,1303 Greene Avenue­,Westmount­,"QC,­",H3Z 2A7,Canada,North & Central America,http://www.profusion.global,Profusion Realty Inc,+ 1 514 592 9838,lremillard@profusionimmo.ca,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238970/content_logo_PROFUSION2018CHR_VERT_NOIR.png,,"Ivry-Sur-Le-Lac, Quebec Montreal, Quebec Morin-Heights, Quebec Piedmont, Quebec Prevost, Quebec Saint-Adolphe-D'howard, Quebec Sainte-Adele, Quebec Sainte-Agathe-Des-Monts, Quebec Sainte-Anne-Des-Lacs, Quebec Saint-Faustin-Lac-Carre, Quebec Saint-Hippolyte, Quebec Saint-Sauveur, Quebec Val-David, Quebec Val-Morin, Quebec Wentworth, Quebec Wentworth-Nord, Quebec Westmount, Quebec Esterel, Quebec Sainte Marguerite Du Lac Masson, Quebec Sainte Marguerite, Quebec"
,SPG Finest Properties,Route de Chêne 36­,Geneva­,"GE,­",1208,Switzerland,Europe,http://www.spgfinestproperties.ch,SPG Finest Properties,+41 (0) 58 810 30 30,lof@spgfinestproperties.ch,,,"Geneva, Geneva"
,Wetag Consulting Immobiliare SA,Via Antonio Ciseri 13A­,Locarno­,"TI,­",6600,Switzerland,Europe,http://www.wetag.ch,Wetag Consulting Immobiliare SA,+41 (0) 91 751 3106,quast@wetag.ch,,,"Locarno, Ticino"
,Wüst und Wüst,Seestrasse 221­,Kusnacht­,"ZH,­",8700,Switzerland,Europe,http://www.wuw.ch,Wüst und Wüst,+41 44 388 58 24,beat.huerlimann@wuw.ch,,,"Kusnacht, Zurich Zurich, Zurich"
,Borquez & Asociados Limitada,Luis Pasteur 6600­,Santiago­,"RG,­",,Chile,South America,http://www.byas.cl,Borquez & Asociados Limitada,+56 2 2953 6992,contacto@byas.cl,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238980/Logo_Byas%2BChristies-vertical.jpg,,
,Costa Rica Resort & Estate Properties,"Fuentes del Obelisco, Suite #17, Escazu­",Santa Cruz­,"GU,­",50304,Costa Rica,North & Central America,http://www.plantacionpropertiescr.com,Costa Rica Resort & Estate Properties,+506 2654 4004,bob@plantacionproperties.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238949/content_unnamed__1_.jpg,,"Cabo De Velas, Guanacaste Santa Cruz, Guanacaste Tamarindo, Guanacaste Escazu, San Jose San Rafael, San Jose"
,Provenance Properties Cayman Islands,The Kimpton Seafire Resort + Spa­,Seven Mile Beach­,"GR,­",KY1-9008,Cayman Islands,North & Central America,http://www.provenanceproperties.com,Provenance Properties Cayman Islands,+1 345 640 7000,Sue.Nickason@dartrealestate.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238971/content_ppci_COLOUR_rgb.jpg,,"Britannia Golf Course, Grand Cayman East End, Grand Cayman Governors Harbour, Grand Cayman Luxury Beach Front Resort Site, Grand Cayman Old Propspect Point, Grand Cayman Rum Point, Grand Cayman Seven Mile Beach Grand Cayman, Grand Cayman South Sound, Grand Cayman Turnberry At Safehaven, Grand Cayman George Town, Grand Cayman Seven Mile Beach, Grand Cayman Crystal Harbour, Grand Cayman Snug Harbour, Grand Cayman Canal Point, Grand Cayman Yacht Club Cayman Islands, Grand Cayman West Bay, Grand Cayman Britannia, Grand Cayman Grand Harbour, Grand Cayman Prospect, Grand Cayman Patricks's Island, Grand Cayman Prospect Point, Grand Cayman Spotts, Grand Cayman Newlands, Grand Cayman Savannah, Grand Cayman North Sound Estates, Grand Cayman Sunrise Landing, Grand Cayman Bodden Town, Grand Cayman Frank Sound, Grand Cayman North Side, Grand Cayman Cayman Kai, Grand Cayman Salt Creek, Grand Cayman Vista Del Mar, Grand Cayman Yacht Club, Grand Cayman Camana Bay, Grand Cayman Tropical Gardens, Grand Cayman Red Bay, Grand Cayman Omega Bay, Grand Cayman Patricks Island, Grand Cayman Northward, Grand Cayman Lower Valley, Grand Cayman Beach Bay, Grand Cayman Queens Highway, Grand Cayman Old Robin Road, Grand Cayman Old Man Bay, Grand Cayman Kaibo, Grand Cayman"
,Svoboda & Williams,"Na Perštýně 2, 110 00, Praha 1­",Prague­,"PR,­",,Czech Republic,Europe,http://en.svoboda-williams.com,Svoboda & Williams,+420 257 328 281,cyril.dejanovski@svoboda-williams.com,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/Affiliate_Logos/238976/content_svobodawilliams-jpeg.jpg,,"Bubenec, Prague Dejvice, Prague Hradcany, Prague Karlin, Prague Mala Strana, Prague Nove Mesto, Prague Pankrac, Prague Prague, Prague Ruzyne, Prague Smichov, Prague Stresovice, Prague Vinohrady, Prague Zbraslav, Prague Stare Mesto, Prague Bratislava, Bratislavsky Nitra, Nitriansky Nagyszombat, Trnavsky Trnava, Trnavsky Zilina, Zilinsky"
