Image URL,Building Name,Property Description,Street Number,Street Name,Street Suffix,Subdivision,Unit Number,Address,City/Location,Zip Code,Year Built,List Price,MLS Number,Building SqFt,Balcony SF,Bathroom Description,Baths Full,Baths Half,Baths Total,Bed Room Description,Bedrooms
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186471320&TableID=9&Type=1&Size=3&exk=34e6a0309f537e5074a2c7911de44273&Number=0,SAN LUIS,"This is a VERY DESIRABLE EFFICIENCY FRACTIONAL CONDO ON C Schedule located on 8TH FLOOR. Enjoy the luxury's of Life at the San Luis Resort: there are 12-13 weeks per year (2-weeks in and 6-weeks out) HOA FEES are ALL INCLUSIVE! AFFORDABLE LUXURY!!! Relax in your new HOME at the San Luis Resort! Enjoy the views of the Gulf of Mexico on your new Balcony, NEW San Luis Hotel amenities Include: Update Pool w/ Cabanas and The Cove Bar, Workout in the State of Art Fitness Center, Utilize the Full Service SPA, Have dinner at 1-of-3 Restaurants (Grotto, The Steak House or Blake's) or simply order Room Service from your new home. Schedule your showing today at the Luxurious San Luis Resort...",5220,Seawall,Boulevard,San Luis Condo,837C,5220 Seawall Boulevard Unit#837C,Galveston,77551,1985,"$36,800",70209791,408,,Primary w/Tub,1,0,1,En-Suite Bath,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=182190730&TableID=9&Type=1&Size=3&exk=f1718ea2e4513288ddad88489464979a&Number=0,SAN LUIS,"This is an UPDATED STYLISH STUDIO (Fractional Condo on the ""C"" Schedule) at the Desirable San Luis Resort.  This Studio Condo boasts: New Appliances, New Tile, Granite Counter-tops, New Furnishings (January 2019). Affordable Fractional Ownership 1/4 Share Condo on the ""A"" Schedule at the San Luis Resort! Wonderful view of the Gulf of Mexico from your private balcony, have a romantic dinner at The Steak House, spend a day at the Spa, order room service, or swim year round in the heated pool. HOA Fees ALL INCLUSIVE: water, electric, cable, telephone, WIFI, trash, 1-covered parking space, all insurance and furnishings. THIS CONDO WILL NOT LAST!!! SCHEDULE A SHOWING TODAY.",5220,Seawall,Boulevard,San Luis Condo,538C,5220 Seawall Boulevard Unit#538C,Galveston,77551,1985,"$36,900",40145426,406,,Tub w/shower,1,0,1,,0
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=182367546&TableID=9&Type=1&Size=3&exk=6d969e4d5b2d606595c58bcb50c80091&Number=0,SAN LUIS,"LOCATION! LOCATION! LOCATION! Affordable Luxury at the San Luis Resort... Own a piece (Fractional Condo-1/4 Share) of LUXURY!  This Stylish Studio is on the ""B"" Schedule.  Monthly Maintenance fee is all inclusive: All utilities, Maid Service (1-Clean per week), Repairs/Maintenance, Phone, WIFI, Basic Cable, Insurance  & Furnishings!  Owner nets 12-13 Weeks per year (2-weeks in/6 weeks out...) Wonderful view of the Gulf of Mexico, enjoy your day at the heated pool, have dinner at one of 3-wonderful restaurants, or simply order room-service, enjoy a Day at the Spa. Call today for showing!",5220,Seawall,Boulevard,San Luis Condo,1237B,5220 Seawall Boulevard Unit#1237B,Galveston,77551,1985,"$37,900",18480398,406,,,1,0,1,,0
#N/A,SAN LUIS,"This is a quarter share ownership at the San Luis Condos adjacent to the Beautifully decorated Four Star San Luis Hotel offering luxurious amenities with an expansive view of the Gulf! Enjoy the sound of the ocean from your private balcony! Some of the most recent upgrades in this 10th floor unit include a reconfigured and updated kitchen and furniture. Pamper yourself with gourmet restaurants, drinks poolside, an outstanding spa experience, shopping in the boutique, or lounging on the beach.  Looking for more recreation? Don't miss the fitness center and the tennis courts, or maybe catch the entertainment in the San Luis Bar. The San Luis Condos are the perfect island location for anything Galveston has to offer.",5220,Seawall,Boulevard,San Luis Condo,1038C,5220 Seawall Boulevard Unit#1038C,Galveston,77551,1985,"$39,000",37456589,408,,,1,0,1,,0
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=182898781&TableID=9&Type=1&Size=3&exk=6e97aa4968fad03fa3cd48a8faff08c1&Number=0,SAN LUIS,"Location! Location! Location! This is a 1x1 Fractional Condo on the ""D"" Schedule. Enjoy the luxury of Life at the San Luis Resort: there are 12-13 weeks per year (2-weeks in and 6-weeks out) HOA FEES are ALL INCLUSIVE! Relax by the NEW & IMPROVED HEATED Resort Pool, Have a cocktail at The Cove, enjoy a day at the Spa, workout in State of Art Fitness Center, HUNGRY-Have dinner at The Steak House, The Grotto, Blake's Bistro, or simply order Room Service.  AFFORDABLE LUXURY! This is the second home you have been looking for!",5220,Seawall,Boulevard,San Luis Condo,1134D,5220 Seawall Boulevard Unit#1134D,Galveston,77551,1985,"$54,999",39447699,813,,Tub w/shower,1,0,1,All Bedrooms Down,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=171583636&TableID=9&Type=1&Size=3&exk=ac41fb6d7dda4fffc30031a31ca29ad5&Number=0,SAN LUIS,"Don't miss this Fabulous 1 Bedroom 1.5 Bath Fractional Share Condominium on the ""A"" Schedule.  You get to enjoy 2 Full weeks every 6 weeks at this luxurious resort.  This unit is priced great and the ONLY one bedroom with a 1/2 bath on the market.    Imagine relaxing in the luxurious pool, enjoying a drink at the bar or experience the beautiful Spa.  The views from this 7th-floor CORNER condo are spectacular and visible from nearly every angel of the condo.  You can even watch the Cruise Ship from the Side window. This Corner Condo, features a Full Kitchen, Master Bedroom and private Bath and Extra Half Bath.  Enjoy the Incredible View and Sunsets from ONE of Your TWO Private Balconies. Don't miss this rare opportunity to own part of this very desirable Resort. ALL Utilities, cable/internet, insurance, maid service including towels, linens and all hotel amenities are included in maintenance Fee.",5220,Seawall,Boulevard,San Luis Condo,739A,5220 Seawall Boulevard Unit#739A,Galveston,77551,1985,"$60,000",27139571,957,,,1,1,1.1,Primary Bed - 1st Floor,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=187010756&TableID=9&Type=1&Size=3&exk=587e088546fe8520c6f16fccdd026648&Number=0,THE SUSSEX,"Gated Community!!!!Central High-Rise living without the Central High-Rise price! Enjoy city views from the 14th floor,Many upgrades! New floor,New Cabinets,New countertop and New painting...The HOA monthly fee is a low $248 per month.Nice 2 bed 1 bath with all the amenities of a luxury resort including swimming pool, tennis court, covered parking,and clubhouse on site!  Great Location! Close to Chinatown, the Galleria, Medical Center, NRG Stadium, Houston Baptist University, UH, Midtown, etc. Minutes to Hwy 59, Loop 610,Westpark toll road and more. so there should never be a shortage of good renters. Maintenance fee includes cable TV, water, sewer, trash pick-up and common area care.  Really well maintained condo, Unit is in good condition,Hurry and schedule a tour before this one is gone...",7520,Hornwood,Drive,Sussex Condo West,1406,7520 Hornwood Drive Unit#1406,Houston,77036,1966,"$63,000",27076895,660,,Tub w/shower,1,0,1,"All Bedrooms Down, Walk-In Closet",2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=183839364&TableID=9&Type=1&Size=3&exk=b3f67106980abc7549bc3ef73c9d9ede&Number=0,THE SUSSEX,"***INVESTOR SPECIAL***DRIVE BY ONLY. DO NOT DISTURB THE TENANTS***SHOWINGS WILL BE ARRANGED ONLY WITH A WRITTEN ACCEPTED OFFER. GATED COMMUNITY, HIGH RISE CONDO NEAR HWY 59 & WESTPARK TOLLWAY. 2 BEDROOMS, 1 BATH, MINI-BLINDS, REFRIGERATOR INCLUDED.  1 PARKING SPACE FOR UNIT. ROOM SIZES ARE APPROXIMATE. PICTURES WERE TAKEN PRIOR TO THE TENANTS MOVING IN.",7520,Hornwood Drive,Drive,SUSSEX CONDO WEST,805,7520 Hornwood Drive Drive Unit#805,Houston,77036,1966,"$64,900",23785932,796,,,1,0,1,"2 Bedrooms Down, All Bedrooms Down",2
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=186875919&TableID=9&Type=1&Size=3&exk=d4280a6cec735f2647cc3497ef9f9b64&Number=0,THE SUSSEX,"Seller says Sell!!LARGEST 1 Bedroom. As-is seller will not make any repairs. Own this cute condo much less than just needs a little TLC to make it your own cozy spot. Large family and living area with original hardwood floors. Nice view of courtyard and pool. Fully functional ac units, huge closet in family room for lots of storage.  Much cheaper than renting hurry call to set up a showing before this one is gone.",7520,Hornwood,Drive,Sussex Condo The,505W,7520 Hornwood Drive Unit#505W,Houston,77036,1966,"$68,500",72019177,795,,,1,0,1,,1
https://matrixmedia.harmls.com/mediaserver/GetMedia.ashx?Key=182974921&TableID=9&Type=1&Size=3&exk=26934dd34b0f1d750ac7745d3140bd57&Number=0,SAN LUIS,"LOCATION-LOCATION-LOCATION This 1x1 & 1/2 bath is in most desirable location of the building (West-End) San Luis Resort can be yours for 12-13 weeks per year. This is a Fractional Condo (quarter-share condominium). The San Luis is a Four Diamond Award Winning Resort! Enjoy world-class dining, elegant spa, and first-class amenities. The views from this 11th-floor condo are breathtaking and visible from nearly every spot in the living room, kitchen and bedroom. Very convenient to elevator and laundry facilities. HOA Fees Includes: All utilities, maid service (1 clean per week) all repairs & maintenance, as well as all furnishings. Keep in mind this condo boast 2 private balconies. Don't miss this rare opportunity to own part of this very desirable condo. Schedule your private viewing today!",5220,Seawall,Boulevard,San Luis Condo,1130B,5220 Seawall Boulevard Unit#1130B,Galveston,77551,1985,"$69,900",55511373,957,,"Half Bath, Tub w/shower",1,1,1.1,,1
